root_symbol,exchange,name,multiplier,tick_size,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours,sector,sub_sector,exchange_y,sector,symbol,strategy,tick,tick value,multiplier_y,,
CPO,CME,Crude Palm Oil Futures,25,0.25,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/crude-palm-oil-futures_contract_specifications.html,,,,,,,,Agriculture,Grain And Oilseed,NYMEX,Malaysian Crude Palm Oil Calendar Futures,CPO,Outright,0.25,6.25,25,,
CS,NYMEX,WTI Financial Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/west-texas-intermediate-wti-crude-oil-calendar-swap-futures_contract_specifications.html,CME Globex: CSXCME ClearPort: CSClearing: CS ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Crude Oil,,,,,,,,,
CSC,CME,Cash-Settled Cheese Futures,20000,0.001,http://www.cmegroup.com/trading/agricultural/dairy/cheese_contract_specifications.html,CME Globex: CSCCME ClearPort: CSCClearing: CSC ,Financially Settled ,Dollars per pound ,"20,000 pounds of Cheese (~9 Metric Tons) ",$0.001 per pound (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the release date for the USDA monthly weighted average price in the U.S. for cheese. LTD close is at 12:10 p.m. Central Time ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. ,Agriculture,Dairy,,Cash-Settled Cheese Futures,CSC,Outright,0.001,20,20000,,
CU,NYMEX,Chicago Ethanol (Platts) Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/ethanol/chicago-ethanol-platts-swap_contract_specifications.html,CME Globex: CUCME ClearPort: CUClearing: CU ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading terminates on the last business day of the contract month. ,CME Globex: ,Energy,Ethanol,NYMEX,Chicago Ethanol (Platts) Futures ,CU,Outright,0.0001,4.2,42000,,
CY,NYMEX,Brent Financial Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/brent-ice-calendar-swap-futures_contract_specifications.html,CME Globex: CYCME ClearPort: CYClearing: CY ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Crude Oil,NYMEX,Brent Financial Futures ,CY,Outright,0.01,10,1000,,
CZ,NYMEX,Transco Zone 3 Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/transco-zone-3-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: CZNCME ClearPort: CZClearing: CZ ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: ,Energy,Natural Gas,,,,,,,,,
D0,NYMEX,Mont Belvieu Normal Butane (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-normal-butane-5-decimals-swap_contract_specifications.html,CME Globex: AD0CME ClearPort: D0Clearing: D0 ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,,,,,,,,,
D2,NYMEX,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-g-5-mw-off-peak-day-ahead-futures_contract_specifications.html,CME Globex: D2LCME ClearPort: D2 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the last business day of the month prior to the contract month, each D2/D2L open position converts into a strip of NYISO Zone G Day-Ahead Off-Peak Calendar-Day 5 MW Futures - ZGO/ZGL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
D3,NYMEX,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Futures,80,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-j-5-mw-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: D3L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each D3/D3L open position converts into a strip of NYISO Zone J Day-Ahead Peak Calendar-Day 5 MW Futures - JN/JNL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
D4,NYMEX,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-j-5-mw-off-peak-cal-mon-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: D4LCME ClearPort: D4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the second to last business day of the month prior to the contract month, each D4/D4L open position converts into a strip of NYISO Zone J Day-Ahead Off-Peak Calendar-Day 5 MW Futures - ZJO/ZJL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
D6,NYMEX,PJM Duquesne Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-duquesne-5-mw-off-peak-cal-mon-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD6CME ClearPort: D6 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
D7,NYMEX,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,80,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-aep-dayton-hub-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: D7L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the last business day of the month prior to the contract month, each D7/D7L open position converts into a strip of PJM AEP Dayton Hub Day-Ahead Peak Calendar-Day 5 MW Futures - PAP/PAL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
D8,NYMEX,PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-comed-5-mw-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD8CME ClearPort: D8Clearing: D8 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
D9,NYMEX,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.01,http://www.cmegroup.com/trading/energy/electricity/pjm-comed-5-mw-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD9CME ClearPort: D9Clearing: D9 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
DA,CME,Class III Milk Futures,2000,0.01,http://www.cmegroup.com/trading/agricultural/dairy/class-iii-milk_contract_specifications.html,CME Globex: DC ,Financially Settled ,Class III Milk ,"200,000 lbs. of Class III Milk ( ˜ 90 metric tons) ",$0.01 per cwt (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Class III price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. ,Agriculture,Dairy,,,,,,,,,
DB,NYMEX,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/crude-oil/brent-dubai-swap-futures_contract_specifications.html,CME Globex: ADBCME ClearPort: DBClearing: DB ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last London and Singapore business day of the contract month. ,CME Globex: ,Energy,Crude Oil,,,,,,,,,
DC,NYMEX,Dubai Crude Oil (Platts) Financial Futures,1000,0.001,http://www.cmegroup.com/trading/energy/crude-oil/dubai-crude-oil-calendar-swap-futures_contract_specifications.html,CME Globex: DCBCME ClearPort: DCClearing: DC ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last London and Singapore business day of the contract month. ,CME Globex: ,Energy,Crude Oil,,,,,,,,,
DJ,CBT,DJIA ($10) Futures,10,1,,,,,,,,,Equities,US Index,,,,,,,,,
DK,CME,Class IV Milk Futures,2000,0.01,http://www.cmegroup.com/trading/agricultural/dairy/class-iv-milk_contract_specifications.html,CME Globex: GDK ,Financially Settled ,Class IV Milk ,"200,000 lbs. of Class IV Milk ( ˜ 90 metric tons) ",$0.01 per cwt (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Class IV price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. ,Agriculture,Dairy,,,,,,,,,
DY,CME,Dry Whey Futures,440,0.25,http://www.cmegroup.com/trading/agricultural/dairy/dry-whey_contract_specifications.html,CME Globex: DYCME ClearPort: DYClearing: DY ,Financially Settled ,Cents per pound ,"44,000 lbs. of Dry Whey ( ˜20 metric tons) ",$0.00025 per pound (= $11.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Dry Whey price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. ,Agriculture,Dairy,,Dry Whey Futures,DY,Outright,0.00025,11,44000,,
E3,NYMEX,PJM BGE Zone Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-bge-zone-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AE3CME ClearPort: E3Clearing: E3 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
E4,NYMEX,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-western-hub-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: E4LCME ClearPort: E4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the second to last business day of the month prior to the contract month, each E4/E4L open position converts into a strip of PJM Western Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures - PWO/PWL in the originally specified contract month.  ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
E5,NYMEX,Argus LLS vs. WTI (Argus) Trade Month Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/argus-lls-vs-wti-argus-trade-month-swap-futures_contract_specifications.html,CME Globex: AE5CME ClearPort: E5Clearing: E5 ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading shall cease at the close of trading on the last business day that falls on or before the 25th calendar day of the month prior to the contract month. If the 25th calendar day is a weekend or holiday, trading shall cease on the first business day prior to the 25th calendar day. ",CME Globex: ,Energy,Crude Oil,,,,,,,,,
E7,CME,E-mini Euro FX Futures,62500,0.0001,http://www.cmegroup.com/trading/fx/g10/e-mini-euro-fx_contract_specifications.html,CME Globex: E7CME ClearPort: E7 ,Deliverable ,,"62,500 euro ",$.00010 per euro increments ($6.25/contract). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: ,FX,Majors,,E-mini EUR/USD Futures (E-mini Euro FX),E7,Outright,0.0001,6.25,62500,,
E8,NYMEX,PJM DPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-dpl-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AE8CME ClearPort: E8Clearing: E8 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
EC,CME,Euro FX Futures,125000,5.00E-05,http://www.cmegroup.com/trading/fx/g10/euro-fx_contract_specifications.html,CME Globex: 6E ,Deliverable ,,"125,000 euro ",Outrights: .00005 USD per EUR increments ($6.25 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,FX,Majors,,,,,,,,,
ED,CME,Eurodollar Futures,2500,0.0025,http://www.cmegroup.com/trading/interest-rates/stir/eurodollar_contract_specifications.html,CME Globex: GE ,Financially Settled ,"IMM price points: 100 points minus the three-month London interbank offered rate for spot settlement on the 3rd Wednesday of contract month. E.g., a price quote of 97.45 signifies a deposit rate of 2.55 percent per annum. One interest rate basis point = 0.01 price points = $25 per contract. ","Eurodollar interbank deposit having approximately $1 million principal value, for three-month term to maturity, for spot settlement on the 3rd Wednesday of the contract month. ", Nearest expiring contract month:   The “new” nearest contract begins trading in 0.0025 increments on the same trade date as the last trading day in the expiring “old” nearest contract.  ,Second London bank business day before 3rd Wednesday of the contract month. Trading in expiring contracts terminates at 11:00 a.m. London time on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. CT ,Interest Rate,Stir,,Eurodollar Futures,GE,Outright,0.0025,6.25,2500,,
EH,CBT,Ethanol Futures,29000,0.001,https://www.cmegroup.com/trading/energy/ethanol/cbot-ethanol_contract_specifications.html,,,,,,,,Energy,Ethanol,NYMEX,CBOT Denatured Fuel Ethanol Futures,EH,Outright,0.001,29,29000,,
EJ,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP Futures,2.5,0.05,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-off-peak-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: AEJCME ClearPort: EJ ,Financially Settled ,U.S. dollars and cents per MWh ,2.5 MWh ,0.05 x 2.5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
EM,CME,1-month Eurodollar Futures,2500,0.0025,https://www.cmegroup.com/trading/interest-rates/stir/1-month-libor_contract_specifications.html,,,,,,,,Interest Rate,Stir,,,,,,,,,
EN,NYMEX,European Naphtha (Platts) Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/european-naphtha-crack-spread-swap_contract_specifications.html,CME Globex: ENCME ClearPort: ENClearing: EN ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,NYMEX,European Naphtha (Platts) Crack Spread Futures,EN,Outright,0.001,1,1000,,
ES,CME,E-mini S&P 500 Futures,50,0.25,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contract_specifications.html,CME Globex: ES ,Financially Settled ,,$50 x S&P 500 Index ,Outright: 0.25 index points=$12.50 Calendar Spread: 0.05 index points=$2.50 BTIC: 0.05 index points=$2.50 TACO (ESQ): 0.05 index points=$2.50 ,Trading can occur up to 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. Eastern Time (ET) on the Thursday before the 3rd Friday of contract month  TACO trading terminates at 9:30 a.m. ET on the Thursday before the 3rd Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. ,Equities,US Index,,E-mini S&P 500 Futures,ES,Outright,0.25,12.5,50,,
EW,NYMEX,East-West Fuel Oil Spread (Platts) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/eastwest-arb-singapore-180cst-vs-rotterdam-35pct-fuel-oil-spread-swap_contract_specifications.html,CME Globex: FEWCME ClearPort: EWClearing: EW ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,
EY,CME,EuroYen Futures,250000,0.025,http://www.cmegroup.com/trading/interest-rates/stir/euroyen_contract_specifications.html,,,,,,,,Interest Rate,Stir,,,,,,,,,
F2,NYMEX,PJM JCPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-jcpl-zone-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AF2CME ClearPort: F2Clearing: F2 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
F5,NYMEX,PJM PPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-ppl-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AF5CME ClearPort: F5 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) ,Energy,Electricity,,,,,,,,,
FC,CME,Feeder Cattle Futures,500,0.025,http://www.cmegroup.com/trading/agricultural/livestock/feeder-cattle_contract_specifications.html,CME Globex: GFCME ClearPort: 62Clearing: 62 ,Financially Settled ,Cents per pound ,"50,000 pounds (˜23 metric tons) ",$.00025 per pound ($12.50 per contract) ,"Last Thursday of the contract month with exceptions for November and other months, 12:00 p.m. - See CME Rule 10202.H.  ",Monday - Friday: 8:30 a.m. - 1:05 p.m. CT ,Agriculture,Livestock,,,,,,,,,
FDM,NYMEX,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,5,0.05,https://www.cmegroup.com/trading/energy/electricity/miso-cinergy-hub-5-mw-off-peak-day-ahead-swap-futures_contract_specifications.html,,,,,,,,Energy,Electricity,,,,,,,,,
FF,CBT,30 Day Federal Funds Futures,4167,0.0025,http://www.cmegroup.com/trading/interest-rates/stir/30-day-federal-fund_contract_specifications.html,CME Globex: ZQ ,Financially Settled ,"100 minus the average daily Fed Funds overnight rate for the delivery month (e.g., a 7.25 percent rate equals 92.75). ","Interest on Fed Funds having a face value of $5,000,000 for one month calculated on a 30-day basis at a rate equal to the average daily Fed Funds effective rate for the delivery month ",Nearest expiring contract month(s): ,The last day of trading in an expiring futures contract shall be the last Business Day of such contract’s delivery month.  Trading in expiring futures shall terminate at the close of the Trading Day on the last day of trading. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. ,Interest Rate,Stir,,,,,,,,,
FH,NYMEX,WTS (Argus) vs. WTI Trade Month Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/wts-argus-vs-wti-trade-month-spread-swap-futures_contract_specifications.html,CME Globex: AFHCME ClearPort: FHClearing: FH ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading shall cease at the close of trading on the last business day that falls on or before the 25th calendar day of the month prior to the contract month. If the 25th calendar day is a weekend or holiday, trading shall cease on the first business day prior to the 25th calendar day. ",CME Globex: ,Energy,Crude Oil,,,,,,,,,
FI,NYMEX,1% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/1pct-fuel-oil-northwest-europe-nwe-crack-spread-swap_contract_specifications.html,CME Globex: AFICME ClearPort: FIClearing: FI ,Financially Settled ,U.S. dollars and cents per barrels ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,
FO,NYMEX,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/northwest-europe-nwe-35pct-fuel-oil-rottderdam-crack-spread-swap_contract_specifications.html,CME Globex: FOCME ClearPort: FOClearing: FO ,Financially Settled ,U.S. dollars and cents per barrels ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,NYMEX,3.5% Fuel Oil (Platts) Barges FOB Rdam Crack Spread Futures ,FO,Outright,0.001,1,1000,,
FP,NYMEX,Florida Gas Zone 3 Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,https://www.cmegroup.com/trading/energy/natural-gas/transco-zone-3-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,,,,,,,,Energy,Natural Gas,,,,,,,,,
FS,NYMEX,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/fuel-oil-diff-1pct-nwe-cargoes-vs-35pct-barges-swap_contract_specifications.html,CME Globex: FSSCME ClearPort: FSClearing: FS ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,
FTM,NYMEX,MISO Indiana Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-indiana-hub-5-mw-off-peak-calendar-month-real-time-swap-futures_contract_specifications.html,,,,,,,,Energy,Electricity,,,,,,,,,
FV,CBT,5 Yr Note Futures,1000,0.0078125,http://www.cmegroup.com/trading/interest-rates/us-treasury/5-year-us-treasury-note_contract_specifications.html,CME Globex: ZFCME ClearPort: 25Clearing: 25 ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One-quarter of one thirty-second (1/32) of one point ($7.8125, rounded to the nearest cent per contract), including intermonth spreads. ",Last business day of the calendar month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. ,Interest Rate,US Treasury,,,,,,,,,
FY,NYMEX,Dated Brent (Platts) to Frontline Brent Futures,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/dated-to-frontline-brent-crude-oil-swap-futures_contract_specifications.html,CME Globex: AFYCME ClearPort: FYClearing: FY ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Crude Oil,,,,,,,,,
GA,CME,Goldman Sachs - Excess Return Futures,100,0.001,http://www.cmegroup.com/trading/agricultural/commodity-index/gsci-excess-return_contract_specifications.html,CME Globex: GIECME ClearPort: GAClearing: GA ,Financially Settled ,Index points ,$100 times the S&P-GSCI Excess Return ,.001 Index point (10  Cents per contract) ,"11th business day of the contract month, 1:40pm ",Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day  beginning at 4:00 p.m. CT ,Agriculture,Commodity Index,,,,,,,,,
GC,CEC,Gold Futures,100,0.1,http://www.cmegroup.com/trading/metals/precious/gold_contract_specifications.html,CME Globex: GCCME ClearPort: GCClearing: GC ,Deliverable ,U.S. Dollars and Cents per troy ounce ,100 troy ounces ,$0.10 per troy ounce ,Trading terminates at 12:30 p.m. CT on the third last business day of the delivery month. ,CME Globex: ,Metals,Precious,COMEX,Gold Futures,GC,Outright,0.1,10,100,,
GCI,NYMEX,Gulf Coast No.6 Fuel Oil 3.0% (Platts) Brent Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no-6-fuel-oil-3pt0pct-platts-vs-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: GCICME ClearPort: GCIClearing: GCI ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,NYMEX,Gulf Coast HSFO (Platts) Brent Crack Spread Futures,GCI,Outright,0.001,1,1000,,
GCU,NYMEX,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no6-fuel-oil-3pct-vs-european-3point5pct-fuel-oil-barges-fob-rdam-platts-swap-futures_contract_specifications.html,CME Globex: GCU ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,NYMEX,Gulf Coast HSFO (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,GCU,Outright,0.001,1,1000,,
GE,NYMEX,Gulf Coast Jet Fuel (Platts) Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-jet-fuel-platts-calendar-swap_contract_specifications.html,CME Globex: AGECME ClearPort: GEClearing: GE ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,
