,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
70,D9,http://www.cmegroup.com/trading/energy/electricity/pjm-comed-5-mw-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AD9CME ClearPort: D9Clearing: D9 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
71,DA,http://www.cmegroup.com/trading/agricultural/dairy/class-iii-milk_contract_specifications.html,CME Globex: DC ,Financially Settled ,Class III Milk ,"200,000 lbs. of Class III Milk ( ˜ 90 metric tons) ",$0.01 per cwt (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Class III price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
72,DB,http://www.cmegroup.com/trading/energy/crude-oil/brent-dubai-swap-futures_contract_specifications.html,CME Globex: ADBCME ClearPort: DBClearing: DB ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last London and Singapore business day of the contract month. ,CME Globex: 
73,DC,http://www.cmegroup.com/trading/energy/crude-oil/dubai-crude-oil-calendar-swap-futures_contract_specifications.html,CME Globex: DCBCME ClearPort: DCClearing: DC ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last London and Singapore business day of the contract month. ,CME Globex: 
74,DK,http://www.cmegroup.com/trading/agricultural/dairy/class-iv-milk_contract_specifications.html,CME Globex: GDK ,Financially Settled ,Class IV Milk ,"200,000 lbs. of Class IV Milk ( ˜ 90 metric tons) ",$0.01 per cwt (= $20.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Class IV price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
75,DY,http://www.cmegroup.com/trading/agricultural/dairy/dry-whey_contract_specifications.html,CME Globex: DYCME ClearPort: DYClearing: DY ,Financially Settled ,Cents per pound ,"44,000 lbs. of Dry Whey ( ˜20 metric tons) ",$0.00025 per pound (= $11.00 per contract) ,Trading shall terminate on the business day immediately preceding the day on which the USDA announces the Dry Whey price for that contract month. (LTD 12:10 p.m.) ,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m. 
76,E3,http://www.cmegroup.com/trading/energy/electricity/pjm-bge-zone-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AE3CME ClearPort: E3Clearing: E3 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: 
77,E4,http://www.cmegroup.com/trading/energy/electricity/pjm-western-hub-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: E4LCME ClearPort: E4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the second to last business day of the month prior to the contract month, each E4/E4L open position converts into a strip of PJM Western Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures - PWO/PWL in the originally specified contract month.  ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
78,E5,http://www.cmegroup.com/trading/energy/crude-oil/argus-lls-vs-wti-argus-trade-month-swap-futures_contract_specifications.html,CME Globex: AE5CME ClearPort: E5Clearing: E5 ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading shall cease at the close of trading on the last business day that falls on or before the 25th calendar day of the month prior to the contract month. If the 25th calendar day is a weekend or holiday, trading shall cease on the first business day prior to the 25th calendar day. ",CME Globex: 
79,E7,http://www.cmegroup.com/trading/fx/g10/e-mini-euro-fx_contract_specifications.html,CME Globex: E7CME ClearPort: E7 ,Deliverable ,,"62,500 euro ",$.00010 per euro increments ($6.25/contract). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
80,E8,http://www.cmegroup.com/trading/energy/electricity/pjm-dpl-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AE8CME ClearPort: E8Clearing: E8 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
81,EBP,http://www.cmegroup.com/europe/products/fx/majors/eur-gbp_contract_specifications.html,,,,,,,
82,EC,http://www.cmegroup.com/trading/fx/g10/euro-fx_contract_specifications.html,CME Globex: 6E ,Deliverable ,,"125,000 euro ",Outrights: .00005 USD per EUR increments ($6.25 USD). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
83,ED,http://www.cmegroup.com/trading/interest-rates/stir/eurodollar_contract_specifications.html,CME Globex: GE ,Financially Settled ,"IMM price points: 100 points minus the three-month London interbank offered rate for spot settlement on the 3rd Wednesday of contract month. E.g., a price quote of 97.45 signifies a deposit rate of 2.55 percent per annum. One interest rate basis point = 0.01 price points = $25 per contract. ","Eurodollar interbank deposit having approximately $1 million principal value, for three-month term to maturity, for spot settlement on the 3rd Wednesday of the contract month. ", Nearest expiring contract month:   The “new” nearest contract begins trading in 0.0025 increments on the same trade date as the last trading day in the expiring “old” nearest contract.  ,Second London bank business day before 3rd Wednesday of the contract month. Trading in expiring contracts terminates at 11:00 a.m. London time on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. CT 
84,EH,http://www.cmegroup.com/trading/energy/ethanol/CBT-ethanol_contract_specifications.html,,,,,,,
85,EJ,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-off-peak-calendar-month-lmp-swap-futures_contract_specifications.html,CME Globex: AEJCME ClearPort: EJ ,Financially Settled ,U.S. dollars and cents per MWh ,2.5 MWh ,0.05 x 2.5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
86,EJY,http://www.cmegroup.com/europe/products/fx/majors/eur-jpy_contract_specifications.html,,,,,,,
87,EM,http://www.cmegroup.com/trading/interest-rates/stir/1-month-libor_specifications.html,,,,,,,
88,EN,http://www.cmegroup.com/trading/energy/refined-products/european-naphtha-crack-spread-swap_contract_specifications.html,CME Globex: ENCME ClearPort: ENClearing: EN ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
89,ES,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contract_specifications.html,CME Globex: ES ,Financially Settled ,,$50 x S&P 500 Index ,Outright: 0.25 index points=$12.50 Calendar Spread: 0.05 index points=$2.50 BTIC: 0.05 index points=$2.50 TACO (ESQ): 0.05 index points=$2.50 ,Trading can occur up to 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. Eastern Time (ET) on the Thursday before the 3rd Friday of contract month  TACO trading terminates at 9:30 a.m. ET on the Thursday before the 3rd Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
90,EUS,http://www.cmegroup.com/europe/products/fx/majors/eur-usd_contract_specifications.html,,,,,,,
91,EW,http://www.cmegroup.com/trading/energy/refined-products/eastwest-arb-singapore-180cst-vs-rotterdam-35pct-fuel-oil-spread-swap_contract_specifications.html,CME Globex: FEWCME ClearPort: EWClearing: EW ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading ceases on the last business day of the contract month. ,CME Globex: 
92,EY,http://www.cmegroup.com/trading/interest-rates/stir/euroyen_contract_specifications.html,,,,,,,
93,F2,http://www.cmegroup.com/trading/energy/electricity/pjm-jcpl-zone-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AF2CME ClearPort: F2Clearing: F2 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
94,F5,http://www.cmegroup.com/trading/energy/electricity/pjm-ppl-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AF5CME ClearPort: F5 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
95,FC,http://www.cmegroup.com/trading/agricultural/livestock/feeder-cattle_contract_specifications.html,CME Globex: GFCME ClearPort: 62Clearing: 62 ,Financially Settled ,Cents per pound ,"50,000 pounds (˜23 metric tons) ",$.00025 per pound ($12.50 per contract) ,"Last Thursday of the contract month with exceptions for November and other months, 12:00 p.m. - See CME Rule 10202.H.  ",Monday - Friday: 8:30 a.m. - 1:05 p.m. CT 
96,FDM,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-indiana-hub-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,,,,,,,
97,FF,http://www.cmegroup.com/trading/interest-rates/stir/30-day-federal-fund_contract_specifications.html,CME Globex: ZQ ,Financially Settled ,"100 minus the average daily Fed Funds overnight rate for the delivery month (e.g., a 7.25 percent rate equals 92.75). ","Interest on Fed Funds having a face value of $5,000,000 for one month calculated on a 30-day basis at a rate equal to the average daily Fed Funds effective rate for the delivery month ",Nearest expiring contract month(s): ,The last day of trading in an expiring futures contract shall be the last Business Day of such contract’s delivery month.  Trading in expiring futures shall terminate at the close of the Trading Day on the last day of trading. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. 
98,FH,http://www.cmegroup.com/trading/energy/crude-oil/wts-argus-vs-wti-trade-month-spread-swap-futures_contract_specifications.html,CME Globex: AFHCME ClearPort: FHClearing: FH ,Financially Settled ,U.S. Dollars and Cents per barrel ,"1,000 barrels ",$0.01 per barrel ,"Trading shall cease at the close of trading on the last business day that falls on or before the 25th calendar day of the month prior to the contract month. If the 25th calendar day is a weekend or holiday, trading shall cease on the first business day prior to the 25th calendar day. ",CME Globex: 
99,FI,http://www.cmegroup.com/trading/energy/refined-products/1pct-fuel-oil-northwest-europe-nwe-crack-spread-swap_contract_specifications.html,CME Globex: AFICME ClearPort: FIClearing: FI ,Financially Settled ,U.S. dollars and cents per barrels ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
100,FO,http://www.cmegroup.com/trading/energy/refined-products/northwest-europe-nwe-35pct-fuel-oil-rottderdam-crack-spread-swap_contract_specifications.html,CME Globex: FOCME ClearPort: FOClearing: FO ,Financially Settled ,U.S. dollars and cents per barrels ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
101,FP,http://www.cmegroup.com/trading/energy/natural-gas/florida-gas-zone-3-natural-gas-basis-swap-futures_contract_specifications.html,,,,,,,
102,FPB,http://www.cmegroup.com/europe/products/energy/electricity/french-power-baseload-calendar-month_contract_specifications.html,,,,,,,
103,FS,http://www.cmegroup.com/trading/energy/refined-products/fuel-oil-diff-1pct-nwe-cargoes-vs-35pct-barges-swap_contract_specifications.html,CME Globex: FSSCME ClearPort: FSClearing: FS ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading ceases on the last business day of the contract month. ,CME Globex: 
104,FT5,http://www.cmegroup.com/trading/equity-index/international-index/e-mini-ftse-china-50-index_contract_specifications.html,CME Globex: FT5 ,Financially Settled ,,$2 x FTSE China 50 Index ,Outright: 5 index points=$10.00 Calendar Spread: 1 index point=$2.00 BTIC: 1 index point=$2.00 ,Trading terminates on the third Friday of the contract month at the end of trading on the Hong Kong Exchange Securities Market ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) 
105,FTM,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-indiana-hub-5-mw-off-peak-calendar-month-real-time-swap-futures_contract_specifications.html,,,,,,,
106,FV,http://www.cmegroup.com/trading/interest-rates/us-treasury/5-year-us-treasury-note_contract_specifications.html,CME Globex: ZFCME ClearPort: 25Clearing: 25 ,Deliverable ,Points and fractions of points with par on the basis of 100 points ,"Face value at maturity of $100,000 ","One-quarter of one thirty-second (1/32) of one point ($7.8125, rounded to the nearest cent per contract), including intermonth spreads. ",Last business day of the calendar month. Trading in expiring contracts closes at 12:01 p.m. on the last trading day. ,SUN - FRI: 5:00 p.m. - 4:00 p.m. 
107,FY,http://www.cmegroup.com/trading/energy/crude-oil/dated-to-frontline-brent-crude-oil-swap-futures_contract_specifications.html,CME Globex: AFYCME ClearPort: FYClearing: FY ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
108,GA,http://www.cmegroup.com/trading/agricultural/commodity-index/gsci-excess-return_contract_specifications.html,CME Globex: GIECME ClearPort: GAClearing: GA ,Financially Settled ,Index points ,$100 times the S&P-GSCI Excess Return ,.001 Index point (10  Cents per contract) ,"11th business day of the contract month, 1:40pm ",Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day  beginning at 4:00 p.m. CT 
109,GBP,http://www.cmegroup.com/europe/products/fx/majors/gbp-usd_contract_specifications.html,,,,,,,
110,GC,http://www.cmegroup.com/trading/metals/precious/gold_contract_specifications.html,CME Globex: GCCME ClearPort: GCClearing: GC ,Deliverable ,U.S. Dollars and Cents per troy ounce ,100 troy ounces ,$0.10 per troy ounce ,Trading terminates at 12:30 p.m. CT on the third last business day of the delivery month. ,CME Globex: 
111,GCI,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no-6-fuel-oil-3pt0pct-platts-vs-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: GCICME ClearPort: GCIClearing: GCI ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
112,GCU,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-no6-fuel-oil-3pct-vs-european-3point5pct-fuel-oil-barges-fob-rdam-platts-swap-futures_contract_specifications.html,CME Globex: GCU ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
113,GE,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-jet-fuel-platts-calendar-swap_contract_specifications.html,CME Globex: AGECME ClearPort: GEClearing: GE ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
114,GI,http://www.cmegroup.com/trading/agricultural/commodity-index/gsci_contract_specifications.html,CME Globex: GDCME ClearPort: GIClearing: GI ,Financially Settled ,Index points ,$250 times the S&P-GSCI ,.05 Index points ($12.50 per contract) ,"11th business day of the contract month, 1:40pm ",Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
115,GL,http://www.cmegroup.com/trading/energy/natural-gas/columbia-gulf-onshore-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,,,,,,,
116,GLI,http://www.cmegroup.com/trading/energy/refined-products/european-gasoil-ice-futures_contract_specifications.html,CME Globex: GLICME ClearPort: 7FClearing: 7F ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.25 per metric ton ,"Trading shall cease one business day prior to the expiration of the ICE Gasoil Futures contract, i.e., the third business day prior to the fourteenth (14th) calendar day of the delivery month. ",CME Globex: 
117,GPB,http://www.cmegroup.com/europe/products/energy/electricity/german-power-baseload-calendar-month_contract_specifications.html,,,,,,,
118,GPP,http://www.cmegroup.com/europe/products/energy/electricity/german-power-peakload-calendar-month_contract_specifications.html,,,,,,,
119,GY,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-ulsd-crack-spread-swap_contract_specifications.html,CME Globex: GYCME ClearPort: GYClearing: GY ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
120,GZ,http://www.cmegroup.com/trading/energy/refined-products/european-gasoil-crack-spread-calendar-swap_contract_specifications.html,CME Globex: GZCME ClearPort: GZClearing: GZ ,Financially Settled ,U.S. dollars and cents per barrels ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: 
121,H2,http://www.cmegroup.com/trading/energy/electricity/nepool-internal-hub-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: H2LCME ClearPort: H2 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # Off-Peak Hours/Month ,"On the last business day of the month prior to the contract month, each H2/H2L open position converts into a strip of ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures - IDO/IDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
122,H3,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-5-mw-peak-real-time_contract_specifications.html,CME Globex: AH3 ,Deliverable ,U.S. dollars and cents per MWh ,5 MW ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the second to last business day of the month prior to the contract month, each H3/AH3 open position converts into a strip of MISO Indiana Hub Real-Time Peak Calendar-Day 5 MW Futures - PTD/PTL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
123,H4,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-5-mw-off-peak-calendar-month-real-time-swap-futures_contract_specifications.html,CME Globex: EJLCME ClearPort: H4Clearing: H4 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the second to last business day of the month prior to the contract month, each H4/EJL open position converts into a strip of MISO Indiana Hub Real-Time Off-Peak Calendar-Day 5 MW Futures - FTD/FTL in the originally specified contract month.  ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
124,H5,http://www.cmegroup.com/trading/energy/electricity/cinergy-hub-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: H5L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the second to last business day of the month prior to the contract month, each H5/H5L open position converts into a strip of MISO Indiana Hub Day-Ahead Peak Calendar-Day 5 MW Futures - PDD/PDL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
125,HB,http://www.cmegroup.com/trading/energy/natural-gas/henry-hub-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: HBCME ClearPort: HBClearing: HB ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
126,HG,http://www.cmegroup.com/trading/metals/base/copper_contract_specifications.html,CME Globex: HGCME ClearPort: HG ,Deliverable ,U.S. Cents per pound ,"25,000 pounds ",$0.0005 per pound ,Trading terminates at 12:00 Noon CT on the third last business day of the delivery month. ,CME Globex: 
127,HH,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas-last-day_contract_specifications.html,CME Globex: HHCME ClearPort: HH ,Financially Settled ,U.S. dollars and cents per MMBtu ,"10,000 MMBtu ",CME ClearPort: ,Trading terminates on the third business day prior to the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
128,HK,http://www.cmegroup.com/trading/energy/refined-products/ny-harbor-heating-oil-crack-spread-calendar-swap_contract_specifications.html,CME Globex: AHLCME ClearPort: HKClearing: HK ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
129,HMO,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-michigan-hub-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: HOACME ClearPort: HMOClearing: HMO ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per MWH. ,The contract quantity shall be 5 Megawatts Hours (MWH). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. Each futures contract shall be valued at the contract quantity multiplied by the settlement price. ,USD 0.05 per MWh. ,CME Globex: ,CME Globex: 
130,HMW,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-michigan-hub-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: HWACME ClearPort: HMWClearing: HMW ,Financially Settled ,Prices shall be quoted in U.S. dollars and cents per MWH. ,5 MWh ,USD 0.05 per MWh. ,CME Globex: ,CME Globex: 
131,HO,http://www.cmegroup.com/trading/energy/refined-products/heating-oil_contract_specifications.html,CME Globex: HOCME ClearPort: HOClearing: HO ,Deliverable ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.0001 per gallon ,Trading in a current month shall cease on the last business day of the month preceding the delivery month. ,CME Globex: 
132,HOB,http://www.cmegroup.com/trading/energy/refined-products/heating-oil-vs-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: HOBCME ClearPort: HOBClearing: HOB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
133,HP,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas-penultimate_contract_specifications.html,CME Globex: HPCME ClearPort: HPClearing: HP ,Financially Settled ,U.S. dollars and cents per MMBtu ,"10,000 MMBtu ",0.001 per MMBtu = $10.00 ,Trading terminates on the 4th last business day of the month prior to the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
134,HR,http://www.cmegroup.com/trading/metals/ferrous/hrc-steel_contract_specifications.html,CME Globex: HRCCME ClearPort: HRClearing: HR ,Financially Settled ,U.S. dollars and cents per short ton ,20 short tons ,$1.00 per short ton ,Trading terminates on the business day prior to the last Wednesday of the named contract month. ,CME Globex: 
135,I3,http://www.cmegroup.com/trading/interest-rates/deliverable-swaps/30-year-deliverable-interest-rate-swap-futures_contract_specifications.html,CME Globex: B1UCME ClearPort: B1UClearing: B1U ,Deliverable ,"Prices are made in terms of price points: 100 points plus net present value (NPV) of IRS that meets Delivery Standard, where NPV is present value of IRS fixed-rate payments minus present value of IRS floating-rate payments as of 3rd Wednesday of Delivery Month. Par is on the basis of 100 points. ","$1,000 per point ($100,000 per contract) ",1/32nd point ($31.25 per contract) ,Second London business day before 3rd Wednesday of futures Delivery Month. Trading in expiring contracts closes at 2:00 p.m. on the last trading day. ,"5 p.m. to 4 p.m., Sun-Fri. "
136,I5,http://www.cmegroup.com/trading/energy/electricity/ercot-north-zone-mcpe-5-mw-peak-swap-futures_contract_specifications.html,CME Globex: AI5 ,Deliverable ,U.S. dollars and cents per MWh. ,5 MW ,0.01 x 5 MW x 16 Peak Hours x # Peak Days/Month ,"On the second to last business day of the month prior to the contract month, each I5/AI5 open position converts into a strip of ERCOT North 345 kV Hub 5 MW Peak Calendar-Day Futures - I7/AI7 in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
137,I6,http://www.cmegroup.com/trading/energy/electricity/ercot-north-zone-mcpe-5-mw-off-peak-swap-futures_contract_specifications.html,CME Globex: AI6CME ClearPort: I6 ,Deliverable ,U.S. dollars and cents per MWh. ,5 MWh ,0.01 x 5 MW x # off-peak hours/month ,"On the last business day of the month prior to the contract month, each I6/AI6 open position converts into a strip of ERCOT North 345 kV Hub 5 MW Off-Peak Calendar-Day Futures - I8/AP1 in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
138,IBV,http://www.cmegroup.com/trading/equity-index/international-index/usd-denominated-ibovespa_contract_specifications.html,CME Globex: IBV ,Financially Settled ,,$1 x Ibovespa Index , Outrights 5 index points = $5  Calendar Spreads 5 index points = $5 ,"5:00 p.m. Sao Paulo Time on the Wednesday closest to the 15th calendar day of the contract month. If it is a non-trading day at BM&F Bovespa, trading shall terminate on the next trading day. ",CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) 
139,IN,http://www.cmegroup.com/trading/energy/natural-gas/henry-hub-natural-gas-index-swap-futures-platts-gas-daily-platts-iferc_contract_specifications.html,CME Globex: INCME ClearPort: INClearing: IN ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
140,IND,"The cash-settled commodity index is a mathematical calculation that averages the head counts, weights and prices of a commodity to determine its settlement price.",,,,,,,
141,J4,http://www.cmegroup.com/trading/energy/electricity/pjm-western-hub-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: J4L ,Deliverable ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the second to last business day of the month prior to the contract month, each J4/J4L open position converts into a strip of PJM Western Hub Day-Ahead Peak Calendar-Day 5 MW Futures - PWP/WPL in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
